!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
◊	diamond|lozenge|rhombus
○	circle|hollow|ring
◌	circle|dotted
◍	circle|fill|vertical
◎	circle|circles|concentric|double|target
●	circle|filled
◐	circle|filled|half|left
◑	circle|filled|half|right
◒	circle|filled|half|lower
◓	circle|filled|half|upper
◔	circle|filled|quadrant|right|upper
◕	all|circle|filled|left|quadrant|upper
◖	circle|filled|half|left
◗	circle|filled|half|right
◘	bullet|inverse
◙	circle|containing|filled|hollow|inverse|square
◜	arc|circular|left|quadrant|upper
◝	arc|circular|quadrant|right|upper
◞	arc|circular|lower|quadrant|right
◟	arc|circular|left|lower|quadrant
◠	circle|half|upper
◡	circle|half|lower
◢	filled|lower|right|triangle
◣	filled|left|lower|triangle
◤	filled|left|triangle|upper
◥	filled|right|triangle|upper
◦	bullet|hollow
◯	circle|hollow|large|ring
◳	hollow|quadrant|right|square|upper
◷	circle|hollow|quadrant|right|upper
◻	geometric|medium|square|white
◼	black|geometric|medium|square
◽	geometric|medium|small|square|white
◾	black|geometric|medium|small|square
◿	lower|right|triangle
☀	bright|rays|space|sun|sunny|weather
☁	cloud|weather
☂	clothing|rain|umbrella
☃	cold|man|snow|snowman
☄	comet|space
☎	phone|telephone
☑	ballot|box|check|checked|done|off|tick
☔	clothing|drop|drops|rain|umbrella|weather
☕	beverage|cafe|caffeine|chai|coffee|drink|hot|morning|steaming|tea
☘	irish|plant|shamrock
☝	finger|hand|index|point|pointing|this|up
☝🏻	finger|hand|index|light|skin|tone|point|pointing|this|up
☝🏼	finger|hand|index|medium|light|skin|tone|point|pointing|this|up
☝🏽	finger|hand|index|medium|skin|tone|point|pointing|this|up
☝🏾	finger|hand|index|medium|dark|skin|tone|point|pointing|this|up
☝🏿	dark|skin|tone|finger|hand|index|point|pointing|this|up
☠	bone|crossbones|dead|death|face|monster|skull
☢	radioactive|sign
☣	biohazard|sign
☦	christian|cross|orthodox|religion
☪	crescent|islam|muslim|ramadan|religion|star
☮	healing|peace|peaceful|symbol
☯	difficult|lives|religion|tao|taoist|total|yang|yin|yinyang
☸	buddhist|dharma|religion|wheel
☹	face|frown|frowning|sad
☺	face|happy|outlined|relaxed|smile|smiling
♀	female|sign|woman
♂	male|man|sign
♈	aries|horoscope|ram|zodiac
♉	bull|horoscope|ox|taurus|zodiac
♊	gemini|horoscope|twins|zodiac
♋	cancer|crab|horoscope|zodiac
♌	horoscope|leo|lion|zodiac
♍	horoscope|virgo|zodiac
♎	balance|horoscope|justice|libra|scales|zodiac
♏	horoscope|scorpio|scorpion|scorpius|zodiac
♐	archer|horoscope|sagittarius|zodiac
♑	capricorn|goat|horoscope|zodiac
♒	aquarius|bearer|horoscope|water|zodiac
♓	fish|horoscope|pisces|zodiac
♟	chess|dupe|expendable|pawn
♠	card|game|spade|suit
♣	card|club|clubs|game|suit
♥	card|emotion|game|heart|hearts|suit
♦	card|diamond|game|suit
♨	hot|hotsprings|springs|steaming
♪	eighth|music|note
♭	bemolle|flat|music|note
♯	di|se|diesis|music|note|sharp
♻	recycle|recycling|symbol
♾	forever|infinity|unbounded|universal
♿	access|handicap|symbol|wheelchair
⚒	hammer|pick|tool
⚓	anchor|ship|tool
⚔	crossed|swords|weapon
⚕	aesculapius|medical|medicine|staff|symbol
⚖	balance|justice|libra|scale|scales|tool|weight|zodiac
⚗	alembic|chemistry|tool
⚙	cog|cogwheel|gear|tool
⚛	atheist|atom|symbol
⚜	fleur|de|lis|knights
⚠	caution|warning
⚡	danger|electric|electricity|high|lightning|nature|thunder|thunderbolt|voltage|zap
⚧	symbol|transgender
⚪	circle|geometric|white
⚫	black|circle|geometric
⚰	coffin|dead|death|vampire
⚱	ashes|death|funeral|urn
⚽	ball|football|futbol|soccer|sport
⚾	ball|baseball|sport
⛄	cold|man|snow|snowman
⛅	behind|cloud|cloudy|sun|weather
⛈	cloud|lightning|rain|thunder|thunderstorm
⛎	bearer|ophiuchus|serpent|snake|zodiac
⛏	hammer|mining|pick|tool
⛑	aid|cross|face|hat|helmet|rescue|worker
⛓	chain|chains
⛓‍💥	break|breaking|broken|chain|cuffs|freedom
⛔	do|entry|fail|forbidden|no|not|pass|prohibited|traffic
⛩	religion|shinto|shrine
⛪	bless|chapel|christian|church|cross|religion
⛰	mountain
⛱	ground|rain|sun|umbrella
⛲	fountain
⛳	flag|golf|hole|sport
⛴	boat|ferry|passenger
⛵	boat|resort|sailboat|sailing|sea|yacht
⛷	ski|skier|snow
⛸	ice|skate|skating
⛹	athletic|ball|basketball|bouncing|championship|dribble|net|person|player|throw
⛹‍♀	athletic|ball|basketball|bouncing|championship|dribble|net|player|throw|woman
⛹‍♂	athletic|ball|basketball|bouncing|championship|dribble|man|net|player|throw
⛹🏻	athletic|ball|basketball|bouncing|championship|dribble|light|skin|tone|net|person|player|throw
⛹🏻‍♀	athletic|ball|basketball|bouncing|championship|dribble|light|skin|tone|net|player|throw|woman
⛹🏻‍♂	athletic|ball|basketball|bouncing|championship|dribble|light|skin|tone|man|net|player|throw
⛹🏼	athletic|ball|basketball|bouncing|championship|dribble|medium|light|skin|tone|net|person|player|throw
⛹🏼‍♀	athletic|ball|basketball|bouncing|championship|dribble|medium|light|skin|tone|net|player|throw|woman
⛹🏼‍♂	athletic|ball|basketball|bouncing|championship|dribble|man|medium|light|skin|tone|net|player|throw
⛹🏽	athletic|ball|basketball|bouncing|championship|dribble|medium|skin|tone|net|person|player|throw
⛹🏽‍♀	athletic|ball|basketball|bouncing|championship|dribble|medium|skin|tone|net|player|throw|woman
⛹🏽‍♂	athletic|ball|basketball|bouncing|championship|dribble|man|medium|skin|tone|net|player|throw
⛹🏾	athletic|ball|basketball|bouncing|championship|dribble|medium|dark|skin|tone|net|person|player|throw
⛹🏾‍♀	athletic|ball|basketball|bouncing|championship|dribble|medium|dark|skin|tone|net|player|throw|woman
⛹🏾‍♂	athletic|ball|basketball|bouncing|championship|dribble|man|medium|dark|skin|tone|net|player|throw
⛹🏿	athletic|ball|basketball|bouncing|championship|dark|skin|tone|dribble|net|person|player|throw
⛹🏿‍♀	athletic|ball|basketball|bouncing|championship|dark|skin|tone|dribble|net|player|throw|woman
